id,name,type,sku,description,weight,width,depth,height,price,cost_price,retail_price,sale_price,map_price,tax_class_id,product_tax_code,calculated_price,brand_id,option_set_id,option_set_display,inventory_level,inventory_warning_level,inventory_tracking,reviews_rating_sum,reviews_count,total_sold,fixed_cost_shipping_price,is_free_shipping,is_visible,is_featured,warranty,bin_picking_number,upc,mpn,gtin,search_keywords,availability,availability_description,sort_order,condition,is_condition_shown,order_quantity_minimum,order_quantity_maximum,page_title,base_variant_id
13111,"SCX Series 60 Watt Superior Architectural Seamless Linkable Linear Lighting System",physical,WM-SCX-6FT-60W,"<p>SCX series superior architectural seamless linkable linear lighting system, 60 watts, 6,720-7,260 lumens, available in 3000K, 3500K, 4000K&nbsp; or 5000K color temperature (CCT), 50,000 hours rated life, 5 years warranty.</p>
<p>Linear Lighting can be customized to your desired length, look &amp; color temperature can either be suspended, surface, mounted or recessed to suit your needs. Ideal for Storage rooms, Offices Conference rooms, Retail Reception areas, Hallways Education facilities, hotels, and restaurants.</p>
<h3>FEATURES</h3>
<ul>
<li>LED Superior Architectural Lights</li>
<li>Seamless Linkable Linear Lighting System</li>
<li>Opal Polycarbonate Lens-Direct (DOWN) Lighting</li>
<li>Optional Recessed &amp; Wall Mounting Kits Available</li>
<li>50,000 Hours Rated Life</li>
<li>5-Year Warranty</li>
<li>Lens Type: Opal Polycarbonate Lens</li>
<li>Optional Louver Version Lens Available</li>
</ul>
<h3>ELECTRICAL</h3>
<ul>
<li>Voltage: 120-277VAC 50/60Hz</li>
<li>Wattage: 60W</li>
<li>Power Factor: &gt;0.95</li>
</ul>
<h3>MECHANICAL</h3>
<ul>
<li>Low Profile Modern Design</li>
<li>Aluminum Housing With Matte White Finish</li>
<li>Custom Colors Available</li>
<li>Lens Snaps into Housing</li>
<li>Make Different Connections Via T/L/X Joints on Both Ends</li>
<li>Mounting Options: Surface, Suspended, Wall, Recessed</li>
<li>IP Rating: IP54</li>
<li>Operating Temperature: -13&deg;F~104&deg;F</li>
</ul>
<h3>LIGHTING</h3>
<ul>
<li>Dimmable: 0~10V Dimming</li>
<li>Total Lumens: 6720LM/6900LM/7080LM/7260LM</li>
<li>Color Temperatures: 3000K/3500K/4000K /5000K</li>
<li>Color Rendering Index: CRI &ge; 80</li>
<li>Up Light Option Available</li>
<li>Beam Angle: 104.8&deg;(H) x 100.5&deg;(V)</li>
</ul>
<h3>APPLICATIONS</h3>
<ul>
<li>Ideal for offices, hotels, corridors, saloons, libraries, meeting rooms, conference halls, and the best solution for modern lighting solutions</li>
<li>It can be used in any indoor applications</li>
</ul>
<div class=""resources_and_downloads"">
<div class=""block_ResDown"">
<h2 class=""res_down_title"">RESOURCES AND DOWNLOADS</h2>
<p class=""resourses""><a href=""../../../content/resources/specs/WM-SCX-6FT-60W.pdf"" target=""_blank"" rel=""noopener"">60 Watt Superior Architectural Seamless Linkable Linear Lighting System Spec Sheet</a></p>
</div>
</div>",30,0,0,0,220,153.98,256.35,0,0,0,,220,124,6636,right,0,0,none,0,0,0,0,,1,,,,,,,,available,,0,New,,0,0,"SCX Series 60 Watt Superior Architectural Seamless Linkable Linear Lighting System",
13112,"SCX Series 80 Watt Superior Architectural Seamless Linkable Linear Lighting System",physical,WM-SCX-8FT-80W,"<p>SCX series superior architectural seamless linkable linear lighting system, 80 watts, 8,960-9,680 lumens, available in 3000K, 3500K, 4000K or 5000K color temperature (CCT), 50,000 hours rated life, 5 years warranty.</p>
<p>Linear Lighting can be customized to your desired length, look &amp; color temperature can either be suspended, surface, mounted or recessed to suit your needs. Ideal for Storage rooms, Offices Conference rooms, Retail Reception areas, Hallways Education facilities, hotels, and restaurants.</p>
<h3>FEATURES</h3>
<ul>
<li>LED Superior Architectural Lights</li>
<li>Seamless Linkable Linear Lighting System</li>
<li>Opal Polycarbonate Lens-Direct (DOWN) Lighting</li>
<li>Optional Recessed &amp; Wall Mounting Kits Available</li>
<li>50,000 Hours Rated Life</li>
<li>5-Year Warranty</li>
<li>Lens Type: Opal Polycarbonate Lens</li>
<li>Optional Louver Version Lens Available</li>
</ul>
<h3>ELECTRICAL</h3>
<ul>
<li>Voltage: 120-277VAC 50/60Hz</li>
<li>Wattage: 80W</li>
<li>Power Factor: &gt;0.95</li>
</ul>
<h3>MECHANICAL</h3>
<ul>
<li>Low Profile Modern Design</li>
<li>Aluminum Housing With Matte White Finish</li>
<li>Custom Colors Available</li>
<li>Lens Snaps into Housing</li>
<li>Make Different Connections Via T/L/X Joints on Both Ends</li>
<li>Mounting Options: Surface, Suspended, Wall, Recessed</li>
<li>IP Rating: IP54</li>
<li>Operating Temperature: -13&deg;F~104&deg;F</li>
</ul>
<h3>LIGHTING</h3>
<ul>
<li>Dimmable: 0~10V Dimming</li>
<li>Total Lumens: 8960LM/9200LM/9440LM/9680LM</li>
<li>Color Temperatures: 3000K/3500K/4000K /5000K</li>
<li>Color Rendering Index: CRI &ge; 80</li>
<li>Up Light Option Available</li>
<li>Beam Angle: 104.8&deg;(H) x 100.5&deg;(V)</li>
<li>&nbsp;</li>
</ul>
<h3>APPLICATIONS</h3>
<ul>
<li>Ideal for offices, hotels, corridors, saloons, libraries, meeting rooms, conference halls, and the best solution for modern lighting solutions</li>
<li>It can be used in any indoor applications</li>
</ul>
<div class=""resources_and_downloads"">
<div class=""block_ResDown"">
<h2 class=""res_down_title"">RESOURCES AND DOWNLOADS</h2>
<p class=""resourses""><a href=""../../../content/resources/specs/WM-SCX-8FT-80W.pdf"" target=""_blank"" rel=""noopener"">80 Watt Superior Architectural Seamless Linkable Linear Lighting System Spec Sheet</a></p>
</div>
</div>",30,0,0,0,292.85,204.98,341.65,0,0,0,,292.85,124,6637,right,0,0,none,0,0,0,0,,1,,,,,,,,available,,0,New,,0,0,"SCX Series 80 Watt Superior Architectural Seamless Linkable Linear Lighting System",
13137,"2x2 LED Decorative 24W Center Recessed Basket",physical,TF-LXT22LZ24W3000LDMV,"<p>The LXT offers subtle, soft, direct elements creating interest and depth across the ceiling plane. The LXT with its curved dual lenses, offers a contemporary, interesting look.</p>
<p>The extruded acrylic lens with softening overlay provides a low glare brightness with the effective combination of excellent light transmission and effective diode obscuration.</p>
<h3>CONSTRUCTION</h3>
<ul>
<li>Low profile body with matte white sloped sides. High reflectance white reflector. Linear ribbed acrylic lens with Lumineo.&nbsp;</li>
</ul>
<h3>TYPICAL OPTIONS &amp; ACCESSORIES</h3>
<ul>
<li>Custom finishes, pull chains, convenience outlets, and emergency backup. Contact factory for more details.</li>
</ul>
<h3>FEATURES &amp; BENEFITS</h3>
<ul>
<li>Soft, effective illumination through dual curve, ribbed acrylic lenses with Lumineo overlays.</li>
<li>Effective balance of performance efficiency and aesthetics.</li>
<li>Linear ribbed acrylic lens with Lumineo overlay manages the balance of efficiency and aesthetics.</li>
<li>Multiple lumen packages / wattages through use of programmable drivers.</li>
<li>Reflector distributes light through both optical elements.</li>
<li>Linear arrayed LED modules provide soft, but effective illumination.</li>
<li>CRI: &gt;80 standard, 90 optional</li>
<li>L70: 50,000 Hrs</li>
<li>Dimming: 0-10V 120-277 standard, 120 ELV/TRIAC optional.</li>
<li>Power factor &gt;0.90</li>
<li>IC Rated for dry and damp locations</li>
<li>5 year warranty</li>
</ul>
<div class=""resources_and_downloads"">
<div class=""block_ResDown"">
<h2 class=""res_down_title"">RESOURCES AND DOWNLOADS</h2>
<p class=""resourses""><a href=""../../../content/resources/specs/LXT-LED.pdf"" target=""_blank"" rel=""noopener"">Decorative Center Recessed Basket Spec Sheet</a></p>
</div>
</div>",30,0,0,0,171.43,120,200,0,0,0,,171.43,149,6641,right,0,0,none,0,0,0,0,,1,,,,,,,,available,,0,New,,0,0,"2x2 LED Decorative 24W Center Recessed Basket",
13138,"2Ft. Wall Wash 16 Watt LED Perimeter Recessed Light",physical,TF-PRLW44RSF24LR16W,"<p>2Ft. wall wash LED perimeter recessed light, 16 watts, 1,600 lumens, available in 3000K, 3500K, 4000K or 5000K color temperature (CCT), 50,000 hours rated life, 5 years warranty.</p>
<p>The High Performance Perimeter Recessed Light creates a wash of ambient and vertical illumination at the transition between the wall and the ceiling plane.</p>
<h3>CONSTRUCTION</h3>
<ul>
<li>Steel sheet metal galvanized and powder coated body.</li>
<li>Internal joiner system, plug-together wiring standard.</li>
</ul>
<h3>FEATURES &amp; BENEFITS</h3>
<ul>
<li>Can be recessed on T-bar ceiling or wall mounted with a wall bracket.</li>
<li>Attractive source of direct lighting for use in offices, hallways, conference rooms and medical facilities.</li>
<li>Suitable for dry or damp location</li>
<li>&gt;50,000 hrs of L70 LED life</li>
<li>CRI &gt;80</li>
<li>0-10 Volt dimmable 120-277V</li>
<li>Power Factor &gt;0.90</li>
<li>100 lm/w</li>
<li>0-10V dimming or Triac dimming</li>
<li>5 year warranty.</li>
</ul>",30,0,0,0,337.15,236,393.35,0,0,0,,337.15,149,6642,right,0,0,none,0,0,0,0,,1,,,,,,,,available,,0,New,,0,0,"2Ft. Wall Wash 16 Watt LED Perimeter Recessed Light",
13139,"4Ft. Wall Wash 32 Watt LED Perimeter Recessed Light",physical,TF-PRLW44RSF48LR32W,"<p>4Ft. wall wash LED perimeter recessed light, 32 watts, 3,200 lumens, available in 3000K, 3500K, 4000K or 5000K color temperature (CCT), 50,000 hours rated life, 5 years warranty.</p>
<p>The High Performance Perimeter Recessed Light creates a wash of ambient and vertical illumination at the transition between the wall and the ceiling plane.</p>
<h3>CONSTRUCTION</h3>
<ul>
<li>Steel sheet metal galvanized and powder coated body.</li>
<li>Internal joiner system, plug-together wiring standard.</li>
</ul>
<h3>FEATURES &amp; BENEFITS</h3>
<ul>
<li>Can be recessed on T-bar ceiling or wall mounted with a wall bracket.</li>
<li>Attractive source of direct lighting for use in offices, hallways, conference rooms and medical facilities.</li>
<li>Suitable for dry or damp location</li>
<li>&gt;50,000 hrs of L70 LED life</li>
<li>CRI &gt;80</li>
<li>0-10 Volt dimmable 120-277V</li>
<li>Power Factor &gt;0.90</li>
<li>100 lm/w</li>
<li>0-10V dimming or Triac dimming</li>
<li>5 year warranty.</li>
</ul>",30,0,0,0,512.86,359,598.35,0,0,0,,512.86,149,6643,right,0,0,none,0,0,0,0,,1,,,,,,,,available,,0,New,,0,0,"4Ft. Wall Wash 32 Watt LED Perimeter Recessed Light",
13140,"6Ft. Wall Wash 48 Watt LED Perimeter Recessed Light",physical,TF-PRLW44RSF72LR48W,"<p>6Ft. wall wash LED perimeter recessed light, 48 watts, 4,800 lumens, available in 3000K, 3500K, 4000K or 5000K color temperature (CCT), 50,000 hours rated life, 5 years warranty.</p>
<p>The High Performance Perimeter Recessed Light creates a wash of ambient and vertical illumination at the transition between the wall and the ceiling plane.</p>
<h3>CONSTRUCTION</h3>
<ul>
<li>Steel sheet metal galvanized and powder coated body.</li>
<li>Internal joiner system, plug-together wiring standard.</li>
</ul>
<h3>FEATURES &amp; BENEFITS</h3>
<ul>
<li>Can be recessed on T-bar ceiling or wall mounted with a wall bracket.</li>
<li>Attractive source of direct lighting for use in offices, hallways, conference rooms and medical facilities.</li>
<li>Suitable for dry or damp location</li>
<li>&gt;50,000 hrs of L70 LED life</li>
<li>CRI &gt;80</li>
<li>0-10 Volt dimmable 120-277V</li>
<li>Power Factor &gt;0.90</li>
<li>100 lm/w</li>
<li>0-10V dimming or Triac dimming</li>
<li>5 year warranty.</li>
</ul>",30,0,0,0,824.3,577,961.7,0,0,0,,824.3,149,6644,right,0,0,none,0,0,0,0,,1,,,,,,,,available,,0,New,,0,0,"6Ft. Wall Wash 48 Watt LED Perimeter Recessed Light",
13141,"8Ft. Wall Wash 64 Watt LED Perimeter Recessed Light",physical,TF-PRLW44RSF96LR64W,"<p>8Ft. wall wash LED perimeter recessed light, 64 watts, 6,400 lumens, available in 3000K, 3500K, 4000K or 5000K color temperature (CCT), 50,000 hours rated life, 5 years warranty.</p>
<p>The High Performance Perimeter Recessed Light creates a wash of ambient and vertical illumination at the transition between the wall and the ceiling plane.</p>
<h3>CONSTRUCTION</h3>
<ul>
<li>Steel sheet metal galvanized and powder coated body.</li>
<li>Internal joiner system, plug-together wiring standard.</li>
</ul>
<h3>FEATURES &amp; BENEFITS</h3>
<ul>
<li>Can be recessed on T-bar ceiling or wall mounted with a wall bracket.</li>
<li>Attractive source of direct lighting for use in offices, hallways, conference rooms and medical facilities.</li>
<li>Suitable for dry or damp location</li>
<li>&gt;50,000 hrs of L70 LED life</li>
<li>CRI &gt;80</li>
<li>0-10 Volt dimmable 120-277V</li>
<li>Power Factor &gt;0.90</li>
<li>100 lm/w</li>
<li>0-10V dimming or Triac dimming</li>
<li>5 year warranty.</li>
</ul>",30,0,0,0,1061.43,743,1238.35,0,0,0,,1061.43,149,6645,right,0,0,none,0,0,0,0,,1,,,,,,,,available,,0,New,,0,0,"8Ft. Wall Wash 64 Watt LED Perimeter Recessed Light",
13142,"2Ft. Wall Wash 16W LED Perimeter Recessed Light",physical,TF-PRLW46RSF24LR16W,"<p>2Ft. wall wash LED perimeter recessed light, 16 watts, 1,600 lumens, available in 3000K, 3500K, 4000K or 5000K color temperature (CCT), 50,000 hours rated life, 5 years warranty.</p>
<p>The High Performance Perimeter Recessed Light creates a wash of ambient and vertical illumination at the transition between the wall and the ceiling plane.</p>
<h3>CONSTRUCTION</h3>
<ul>
<li>Steel sheet metal galvanized and powder coated body.</li>
<li>Internal joiner system, plug-together wiring standard.</li>
</ul>
<h3>FEATURES &amp; BENEFITS</h3>
<ul>
<li>Can be recessed on T-bar ceiling or wall mounted with a wall bracket.</li>
<li>Attractive source of direct lighting for use in offices, hallways, conference rooms and medical facilities.</li>
<li>Suitable for dry or damp location</li>
<li>&gt;50,000 hrs of L70 LED life</li>
<li>CRI &gt;80</li>
<li>0-10 Volt dimmable 120-277V</li>
<li>Power Factor &gt;0.90</li>
<li>100 lm/w</li>
<li>0-10V dimming or Triac dimming</li>
<li>5 year warranty.</li>
</ul>",30,0,0,0,350,245,408.35,0,0,0,,350,149,6646,right,0,0,none,0,0,0,0,,1,,,,,,,,available,,0,New,,0,0,"2Ft. Wall Wash 16W LED Perimeter Recessed Light",
13143,"4Ft. Wall Wash 32W LED Perimeter Recessed Light",physical,TF-PRLW46RSF48LR32W,"<p>4Ft. wall wash LED perimeter recessed light, 32 watts, 3,200 lumens, available in 3000K, 3500K, 4000K or 5000K color temperature (CCT), 50,000 hours rated life, 5 years warranty.</p>
<p>The High Performance Perimeter Recessed Light creates a wash of ambient and vertical illumination at the transition between the wall and the ceiling plane.</p>
<h3>CONSTRUCTION</h3>
<ul>
<li>Steel sheet metal galvanized and powder coated body.</li>
<li>Internal joiner system, plug-together wiring standard.</li>
</ul>
<h3>FEATURES &amp; BENEFITS</h3>
<ul>
<li>Can be recessed on T-bar ceiling or wall mounted with a wall bracket.</li>
<li>Attractive source of direct lighting for use in offices, hallways, conference rooms and medical facilities.</li>
<li>Suitable for dry or damp location</li>
<li>&gt;50,000 hrs of L70 LED life</li>
<li>CRI &gt;80</li>
<li>0-10 Volt dimmable 120-277V</li>
<li>Power Factor &gt;0.90</li>
<li>100 lm/w</li>
<li>0-10V dimming or Triac dimming</li>
<li>5 year warranty.</li>
</ul>",30,0,0,0,550,385,641.7,0,0,0,,550,149,6647,right,0,0,none,0,0,0,0,,1,,,,,,,,available,,0,New,,0,0,"4Ft. Wall Wash 32W LED Perimeter Recessed Light",
13144,"6Ft. Wall Wash 48W LED Perimeter Recessed Light",physical,TF-PRLW46RSF72LR48W,"<p>6Ft. wall wash LED perimeter recessed light, 48 watts, 4,800 lumens, available in 3000K, 3500K, 4000K or 5000K color temperature (CCT), 50,000 hours rated life, 5 years warranty.</p>
<p>The High Performance Perimeter Recessed Light creates a wash of ambient and vertical illumination at the transition between the wall and the ceiling plane.</p>
<h3>CONSTRUCTION</h3>
<ul>
<li>Steel sheet metal galvanized and powder coated body.</li>
<li>Internal joiner system, plug-together wiring standard.</li>
</ul>
<h3>FEATURES &amp; BENEFITS</h3>
<ul>
<li>Can be recessed on T-bar ceiling or wall mounted with a wall bracket.</li>
<li>Attractive source of direct lighting for use in offices, hallways, conference rooms and medical facilities.</li>
<li>Suitable for dry or damp location</li>
<li>&gt;50,000 hrs of L70 LED life</li>
<li>CRI &gt;80</li>
<li>0-10 Volt dimmable 120-277V</li>
<li>Power Factor &gt;0.90</li>
<li>100 lm/w</li>
<li>0-10V dimming or Triac dimming</li>
<li>5 year warranty.</li>
</ul>",30,0,0,0,898.6,629,1048.35,0,0,0,,898.6,149,6648,right,0,0,none,0,0,0,0,,1,,,,,,,,available,,0,New,,0,0,"6Ft. Wall Wash 48W LED Perimeter Recessed Light",
